WARNING:root:Insufficient stock of product D (available: 1, requested: 2) in the order {'A': 5, 'C': 1, 'B': 3, 'E': 0, 'D': 2, 'stream': u'stream-2', 'header': 15}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 2, 'C': 5, 'B': 1, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 40}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 2, 'C': 5, 'B': 1, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 40}
WARNING:root:Insufficient stock of product E (available: 1, requested: 3) in the order {'A': 2, 'C': 5, 'B': 1, 'E': 3, 'D': 1, 'stream': u'stream-1', 'header': 40}
WARNING:root:Insufficient stock of product A (available: 0, requested: 1) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 2, 'D': 2, 'stream': u'stream-1', 'header': 41}
WARNING:root:Insufficient stock of product B (available: 0, requested: 2) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 2, 'D': 2, 'stream': u'stream-1', 'header': 41}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 2, 'D': 2, 'stream': u'stream-1', 'header': 41}
WARNING:root:Insufficient stock of product D (available: 0, requested: 2) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 2, 'D': 2, 'stream': u'stream-1', 'header': 41}
WARNING:root:Insufficient stock of product E (available: 1, requested: 2) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 2, 'D': 2, 'stream': u'stream-1', 'header': 41}
WARNING:root:Insufficient stock of product A (available: 0, requested: 5) in the order {'A': 5, 'C': 4, 'B': 5, 'E': 0, 'D': 5, 'stream': u'stream-1', 'header': 42}
WARNING:root:Insufficient stock of product B (available: 0, requested: 5) in the order {'A': 5, 'C': 4, 'B': 5, 'E': 0, 'D': 5, 'stream': u'stream-1', 'header': 42}
WARNING:root:Insufficient stock of product C (available: 0, requested: 4) in the order {'A': 5, 'C': 4, 'B': 5, 'E': 0, 'D': 5, 'stream': u'stream-1', 'header': 42}
WARNING:root:Insufficient stock of product D (available: 0, requested: 5) in the order {'A': 5, 'C': 4, 'B': 5, 'E': 0, 'D': 5, 'stream': u'stream-1', 'header': 42}
WARNING:root:Insufficient stock of product A (available: 0, requested: 5) in the order {'A': 5, 'C': 5, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-2', 'header': 35}
WARNING:root:Insufficient stock of product B (available: 0, requested: 2) in the order {'A': 5, 'C': 5, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-2', 'header': 35}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 5, 'C': 5, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-2', 'header': 35}
WARNING:root:Insufficient stock of product D (available: 0, requested: 1) in the order {'A': 5, 'C': 5, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-2', 'header': 35}
WARNING:root:Insufficient stock of product E (available: 1, requested: 4) in the order {'A': 5, 'C': 5, 'B': 2, 'E': 4, 'D': 1, 'stream': u'stream-2', 'header': 35}
WARNING:root:Insufficient stock of product A (available: 0, requested: 5) in the order {'A': 5, 'C': 0, 'B': 1, 'E': 5, 'D': 0, 'stream': u'stream-1', 'header': 43}
WARNING:root:Insufficient stock of product B (available: 0, requested: 1) in the order {'A': 5, 'C': 0, 'B': 1, 'E': 5, 'D': 0, 'stream': u'stream-1', 'header': 43}
WARNING:root:Insufficient stock of product E (available: 1, requested: 5) in the order {'A': 5, 'C': 0, 'B': 1, 'E': 5, 'D': 0, 'stream': u'stream-1', 'header': 43}
WARNING:root:Insufficient stock of product A (available: 0, requested: 1) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 5, 'D': 0, 'stream': u'stream-2', 'header': 36}
WARNING:root:Insufficient stock of product B (available: 0, requested: 2) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 5, 'D': 0, 'stream': u'stream-2', 'header': 36}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 5, 'D': 0, 'stream': u'stream-2', 'header': 36}
WARNING:root:Insufficient stock of product E (available: 1, requested: 5) in the order {'A': 1, 'C': 5, 'B': 2, 'E': 5, 'D': 0, 'stream': u'stream-2', 'header': 36}
WARNING:root:Insufficient stock of product A (available: 0, requested: 2) in the order {'A': 2, 'C': 5, 'B': 4, 'E': 1, 'D': 3, 'stream': u'stream-1', 'header': 44}
WARNING:root:Insufficient stock of product B (available: 0, requested: 4) in the order {'A': 2, 'C': 5, 'B': 4, 'E': 1, 'D': 3, 'stream': u'stream-1', 'header': 44}
WARNING:root:Insufficient stock of product C (available: 0, requested: 5) in the order {'A': 2, 'C': 5, 'B': 4, 'E': 1, 'D': 3, 'stream': u'stream-1', 'header': 44}
WARNING:root:Insufficient stock of product D (available: 0, requested: 3) in the order {'A': 2, 'C': 5, 'B': 4, 'E': 1, 'D': 3, 'stream': u'stream-1', 'header': 44}
